"identifier","abstract","title","keywords"
"doi:10.18739/A2SC4M","The contributed data represents watercolumn backscatter data collected with a Simrad EK80 Wide-band Transceiver (WBT) transmitting through a Simrad ES18-11 scientific split-beam echosounder on the Icebreaker Oden during Leg 2 of the SWERUS-C3 2014 expedition (Swedish-Russian-US Arctic Ocean Investigation of Climate-Cryosphere-Carbon Interactions). The EK80 WBT was installed by UNH on the Oden especially for this program. The data were collected over a band of approximately 16 - 29 kHz providing extremely high resolution imagery of the water column that has allowed us to distinguish individual bubbles at methane gas seeps and fine-scale structure, including thermohaline steps, in the water column.  Files are named according to the format: ODEN-{Date}-{Time}.raw. ""ODEN"" indicates that the measurements were taken on the Icebreaker Oden. {Date} corresponds to the date that this 24-hour cycle of measurements concluded and {Time} is the number of hours, minutes, and seconds (in this format: HHMMSS) since this cycle of measurements began. For example, ""ODEN-D20140903-T192153.raw"" contains data recorded from the Icebreaker Oden taken during the 2014-09-03 cycle 19:21:53 after the cycle began.","SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, October 1 - 2, 2014","Instruments/Sensors>EK80>Broadband Watercolumn Acoustic Data Instruments/Sensors>EK80>Broadband Acoustic Watercolum Data"
"doi:10.5065/D647480D","This dataset contains NCEP Reanalysis Temperature data. Gridded daily time step data from Ohio State University based on National Centers for Environmental Prediction/National Center for Atmospheric Research (NCEP/NCAR) reanalysis data, interpolated from the NCEP/NCAR grids (~209km) to the 25km Northern Hemisphere Equal-Area Scalable Earth Grid (EASE-Grid) using a bi-lagrange interpolation formula. As part of the data processing of Arctic Rapid Integrated Monitoring System (ArcticRIMS) based at the Water Systems Analysis Group (WSAG), University of New Hampshire all data sets have been aggregated to multiple temporal and spatial resolutions. The data is presented in 24 sub-datasets of different spatial and temporal aggregations.","ArcticRIMS: NCEP Reanalysis Temperature","Arctic Hydrology"
"doi:10.5065/D6930R4N","This dataset includes data from the Knudsen 320B/R Depth Sounder system onboard the US Coast Guard Cutter Healy during the BEST 2008 0803 (summer) cruise. The Knudsen depth sounder records the 3 - 6 kHz data (Sub Bottom Profile) underway. There is one tar file for each day. The following is a list of the file extensions and their meaning of the files contained in the tar files: .keb - Binary Knudsen Playback File .kea - ASCII log of depth, settings and environmental data .sgy - Binary SEG-Y extended Seismic format.","HLY-08-03 Raw Knudsen 320B/R Depth Sounder Data [Sambrotto/LDEO]","Ship Oceanography Arctic oceans"
"doi:10.18739/A2SX64880","Wetlands are the single largest natural source of atmospheric methane (CH4), a greenhouse gas, and occur extensively in the northern hemisphere. Large discrepancies remain between bottom-up and top-down estimates of northern CH4 emissions. To explore whether these discrepancies are due to poor representation of non-growing season CH4 emissions, we synthesized non-growing season and annual CH4 flux measurements from temperate, boreal, and tundra wetlands and uplands. Median non-growing season wetland emissions ranged from 0.9 g/m² in bogs to 5.2 g/m² in marshes and were dependent on moisture, vegetation, and permafrost. Annual wetland emissions ranged from 0.9 g/m²/y in tundra bogs to 78 g/m²/y in temperate marshes. Uplands varied from CH4 sinks to CH4 sources with a median annual flux of 0.0 ± 0.2 g/m²/y. The measured fraction of annual CH4 emissions during the non-growing season (observed: 13 to 47%) was significantly larger than was predicted by two process-based model ensembles, especially between 40-60º N (modeled: 4 to 17%). Constraining the model ensembles with the measured non-growing fraction increased total non-growing season and annual CH4 emissions. Using this constraint, the modeled non-growing season wetland CH4 flux from > 40° north was 6.1 ± 1.5 Tg/y, three times greater than the non-growing season emissions of the unconstrained model ensemble. The annual wetland CH4 flux was 37 ± 7 Tg/y from the data-constrained model ensemble, 25% larger than the unconstrained ensemble. Considering non-growing season processes is critical for accurately estimating CH4 emissions from high latitude ecosystems, and necessary for constraining the role of wetland emissions in a warming climate. This dataset contains the synthesis of measured flux data from the study.","Growing season, non-growing season and annual methane (CH4) fluxes from temperate, boreal, and Arctic wetlands and uplands (synthesis), 1989-2016","methane alpine/tundra peatlands wetlands"
"urn:uuid:3e0f9464-695c-4caa-9288-72289c850a25","This dataset contains data collected from a small lead about 1 km WNW of the SHEBA ship. The data were collected by a SeaBird SBE-25 Conductivity Temperature Depth (CTD) sensor, and an AC-9 instrument. The SBE-25 was used to make physical measurements of the uppermost 60 m of the water column. The AC-9 measured the beam attenuation and absorption coefficients relative to a pure water blank.","Ice Camp Summer Leads Inherent Optical Properties (ASCII) [Pegau, W. S.]","CTD ocean cast Oceanography Arctic"
"doi:10.5065/D6NG4NQF","This data set contains the weather logs taken aboard the United States Coast Guard Cutter (USCGC) Healy HLY-04-03 cruise. The logs are in Excel format.","HLY-04-03 Weather Logs [USCG]","Ship Arctic"
"doi:10.18739/A2631F","GIS Reference Layers provided in this Archive Section to support the *.mxd files which will not port into ArcGIS in their completeness without these support reference layers.","Referencing Layers for Remote Sensing Products","EARTH SCIENCE > CRYOSPHERE > SEA ICE > ICE TYPES EARTH SCIENCE > CRYOSPHERE > SEA ICE EARTH REMOTE SENSING INSTRUMENTS > ACTIVE REMOTE SENSING > IMAGING RADARS > GEOSAR > GEOGRAPHIC SYNTHETIC APERTURE RADAR SATELLITE IMAGE GRIDS AND VECTORS MULTIPLE SWATH POINT LESS THAN 1 METER 1 METER TO 30 METERS 30 METERS TO 100 METERS 100 METERS TO 250 METERS 250 METERS TO 500 METERS 500 METERS TO 1 KILOMETER 1 KILOMETER DAILY TO WEEKLY location climatologyMeteorologyAtmosphere geoscientificInformation"
"doi:10.5065/D68S4N0Q","This data set represents an analysis of fatty acids and neutral lipids in sediments from an undisturbed core taken with a 10 cm diameter Benthos corer without a cutter or catcher during August and September 1987. These data are in ASCII format.","Chukchi Sea Sediment Core Lipid Analysis, Station 2 (ASCII) [Harvey, R.]","Models/Analyses Arctic"
"doi:10.18739/A2DC12","Airglow image data of various emissions are stored in .png image format. The filename indicates the observation site (PFRR = Poker Flat Research Range), the observation time (year, month, day, hour, min, and sec) of image acquisition start, and finally the emission identifier follows (for example OH or Na). Please note that this data set is the RAW data and contain the entire set of images obtained during the project period. This include high, medium, and low quality image data. While we do not require co-authorship in publications using the data set, we encourage users to contact the PI to make sure the data has been interpreted correctly. Otherwise, standard scientific ethic is expected.","Hydroxyl (OH) airglow image data, Alaska, December 7, 2012","EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC PRESSURE > GRAVITY WAVE EARTH REMOTE SENSING INSTRUMENTS > PASSIVE REMOTE SENSING > PHOTON/OPTICAL DETECTORS > CAMERAS > ASC > ALL-SKY CAMERA OBSERVATORY IMAGE 1 KILOMETER TO 10 KILOMETERS 1 MINUTE TO 1 HOUR geoscientificInformation"
"doi:10.5065/D6BP010B","This is an abstract of the paper submitted by Hinzman et al. entitled Hydrologic Response and Feedbacks to a Warmer Climate in Arctic Regions. This Study was presented at the second Wadati Conference on Global Change and Polar Climate in March, 2001 as part of ATLAS. The paper is in pdf format.","Wadati Conference Hydrologic Response Abstract [Hinzman, L., D. Kane, D. Goering]","Arctic Hydrology"
"doi:10.18739/A2ZS2KC8C","Water from multiple sources in the Lake Peters watershed, Alaska, collected between 2015 and 2018 was analyzed for stable isotopes. The data were used for a hydrologic mixing model to estimate the proportion of summer rain, winter snow, and glacier melt (combined with baseflow), which comprise the hydrographs of Carnivore and Chamberlin Creeks, the two main inflows to Lake Peters. In addition, the geochemistry of water from the two creeks was analyzed over two days on a multi-hourly schedule. The study is described in a MS (Master of Science) thesis: Ellerbroek, R.A., 2018. Three-component hydrograph separation for the glaciated Lake Peters watershed, Arctic Alaska. MS Thesis, Northern Arizona University, Flagstaff, Arizona, ProQuest ID (identifier) 2112380481.","Geochemical and stable isotope composition data from precipitation, runoff, snow and ice collected in Lake Peters watershed, Arctic Wildlife Refuge, Alaska, 2015-2018","Stable isotope geochemistry water quality Lake Peters Arctic National Wildlife Refuge"
"urn:uuid:2b8b7267-7259-48b9-8414-ba1638985387","This dataset contains raw (binary ""filmstrip"" imagery) files of PMS-2D data collected by the NSF/NCAR C-130 (Tail Number: N130AR) during the Beaufort Arctic Storms Experiment (BASE).","PMS-2D Two-dimensional Cloud Probe data [NCAR/EOL]","Aircraft, NSF/NCAR C-130 Aircraft"
"doi:10.18739/A2VG48","This data set contains 537 profiles of temperature and salinity collected over 258 days from 20 September 2007 to 25 May 2008.","WHOI Ice Tethered Profiler #10","EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > OCEAN MIXED LAYER EARTH SCIENCE > ATMOSPHERE > AIR QUALITY > CARBON MONOXIDE EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > THERMOCLINE EARTH SCIENCE > OCEANS > SALINITY/DENSITY > CONDUCTIVITY IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > CTD > CONDUCTIVITY, TEMPERATURE, DEPTH DRIFTING BUOY VERTICAL PROFILE 1 METER TO 30 METERS HOURLY TO DAILY oceans"
"doi:10.5065/D6NV9GD1","This dataset contains peak season understory cover and heights (cm) from the ATLAS sites in Council. Sites C2, C6, and C4 were point framed in 1999 and C1, C3, and C5 in 2000.","Council Cover Data (Excel) [Copass, C.]","Arctic Surface"
"urn:uuid:d59c96a8-2a88-4a0d-adb6-9973fdec7b67","This data set contains PRELIMINARY data from channel-1 of the ARM Atmospheric Emitted Radiance Interferometer (AERI). Data are GIF images of temperature plots from selected days.","Ice Camp (PRELIMINARY) AERI channel-1 data. (GIF) [ARM]","DOE/ARM SMOS Arctic Surface"
"urn:uuid:277a02ad-eb93-4143-a56e-b5c05161ba01","BeringFall2012 L1 data (laser data, LaserTech ULS)","BeringFall2012_laser","EARTH SCIENCE > CRYOSPHERE > GLACIERS/ICE SHEETS > GLACIERS EARTH REMOTE SENSING INSTRUMENTS > ACTIVE REMOTE SENSING > ALTIMETERS > LIDAR/LASER ALTIMETERS AIRCRAFT elevation"
"doi:10.18739/A28G8FH70","Permafrost thaw exposes previously frozen soil organic matter to microbial decomposition. This process generates methane and carbon dioxide, and thereby fuels a positive feedback process that leads to further warming and thaw. Despite widespread permafrost degradation during the past ~40 years, the degree to which permafrost thaw may be contributing to a feedback between warming and thaw in recent decades is not well understood. Radiocarbon evidence of modern emissions of ancient permafrost carbon is also sparse. Here we combine radiocarbon dating of lake bubble trace-gas methane (113 measurements) and soil organic carbon (289 measurements) for lakes in Alaska, Canada, Sweden and Siberia with numerical modelling of thaw and remote sensing of  thermokarst shore expansion. Methane emissions from thermokarst areas of lakes that have expanded over the past 60 years were directly proportional to the mass of soil carbon inputs to the lakes from the erosion of thawing permafrost. Radiocarbon dating indicates that methane age
from lakes is nearly identical to the age of permafrost soil carbon thawing around them. Based on this evidence of landscape-scale permafrost carbon feedback, we estimate that 0.2 to 2.5 Pg permafrost carbon was released as methane and carbon dioxide in thermokarst expansion zones of pan-Arctic lakes during the past 60 years.","Methane emissions (Alaska, Canada, Sweden, Siberia) proportional to permafrost carbon thawed in Arctic lakes since the 1950s","methane methane emissions thermakarst methane ebullition permafrost pan-arctic lakes lake area change radio carbon dating soil organic carbon"
"doi:10.18739/A2KJ9C","Introduction:   Between 1958 and 1999, Austin Post led the USGS collection of aerial imagery of North American glaciers. These images are primarily vertical stereo black and white images, although single oblique images, as well as color images have been collected. The glaciers of North America were the subjects, and the digital products made available here serve to document the changes that have occurred to the glaciers over the past 5 decades. The purpose of this project is to preserve the data contained within these film images in a digital format for future analysis of North American glacier change.   File Layout:    1.   The first level contains an overall data set of image metadata from 1964 - 1997 (nagapData.csv) and an R script (searchData.R) with instructions on how to search and subset the data.  fileLayout.pdf shows the file structure and folder contents visually.  There are also three kml files with flight path information by decade.   2.   The second level is the year in which the pictures were taken.  There are 32 years with images from 1964 – 1997.  The majority of these folders are jpegs with notes provided by Austin Post.  They also contain a year-specific csv (YYYY.csv) that contains image metadata for the entire year (date, roll numbers, location name, longitude, latitude, altitude, media, and comments).  The overall data set (nagapData.csv) is the aggregate of each individual “YYYY.csv” file.   3.   The glacier photos are located at the third level (this level).  The folders at this level are distinguished by camera roll number (1, 2, etc.), and image type (thumbnail, jpeg, or tif); some also contain fiducial and oblique image folders.  This level primarily contains image files of aerial photos as either thumbnails, jpegs, or tifs. It also includes a csv with image metadata specific to each roll (date, roll numbers, location name, longitude, latitude, altitude, media, and comments), a text file (info.txt) with camera specifications unique to each image, and a text file (histo.txt or matchReport.txt) with color information and scanner specifications unique to each image.","Photogrammetric scans of aerial photographs of North American glaciers, 1977. Roll 6 thumbnails","Alaska glacier aerial USGS"
"doi:10.18739/A25W46","NDVI calculated from multi-spectral scans of toolkit experimental plots receiving ambient or enhanced snow, or ambient and warmed summer temperature (warmed with ITEX chamber). Also includes data from an unmanipulated shrub site.","Toolik Lake, Alaska NDVI - 2014","EARTH SCIENCE > BIOSPHERE > VEGETATION > LEAF CHARACTERISTICS EARTH REMOTE SENSING INSTRUMENTS > PASSIVE REMOTE SENSING > PHOTON/OPTICAL DETECTORS > PHOTOMETERS > MSBSP > MULTI-SPECTRAL BAND SUN PHOTOMETER FIELD SURVEY STATION TRANSECT POINT LESS THAN 1 METER DAILY TO WEEKLY biota climatologyMeteorologyAtmosphere imageryBaseMapsEarthCover"
"doi:10.18739/A2J87J","The contributed data represents watercolumn backscatter data collected with a Simrad EK80 Wide-band Transceiver (WBT) transmitting through a Simrad ES18-11 scientific split-beam echosounder on the Icebreaker Oden during Leg 2 of the SWERUS-C3 2014 expedition (Swedish-Russian-US Arctic Ocean Investigation of Climate-Cryosphere-Carbon Interactions). The EK80 WBT was installed by UNH on the Oden especially for this program. The data were collected over a band of approximately 16 - 29 kHz providing extremely high resolution imagery of the water column that has allowed us to distinguish individual bubbles at methane gas seeps and fine-scale structure, including thermohaline steps, in the water column.  Files are named according to the format: ODEN-{Date}-{Time}.raw. ""ODEN"" indicates that the measurements were taken on the Icebreaker Oden. {Date} corresponds to the date that this 24-hour cycle of measurements concluded and {Time} is the number of hours, minutes, and seconds (in this format: HHMMSS) since this cycle of measurements began. For example, ""ODEN-D20140903-T192153.raw"" contains data recorded from the Icebreaker Oden taken during the 2014-09-03 cycle 19:21:53 after the cycle began.","SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, September 13 - 15, 2014","Instruments/Sensors>EK80>Broadband Watercolumn Acoustic Data Instruments/Sensors>EK80>Broadband Acoustic Watercolum Data"
